name,region,academy,city,messagerie,address,phone,website,longitude,latitude
Lycée polyvalent privé Saint-Pierre La Joliverie,Pays de Loire,Nantes,Saint-Sébastien-sur-Loire,ce.0441653H@ac-nantes.fr,"141 route de Clisson, 44232, Saint-Sébastien-sur-Loire",02 40 80 25 80,http://www.la-joliverie.com/,-1.516669,47.190766
Lycée privé Jeanne Delanoue,Pays de Loire,Nantes,Cholet,ce.0490904S@ac-nantes.fr,"11 boulevard Jeanne d'Arc, 49304, Cholet",02 41 63 74 74,http://www.jeannedelanoue.com/,-0.868111,47.063919
Lycée privé Saint-Joseph - La Salle,Pays de Loire,Nantes,Pruillé-le-Chétif,ce.0721478R@ac-nantes.fr,"Le Pizieux, 72700, Pruillé-le-Chétif ",02 43 39 16 80,http://www.stjoseph-lasalle.fr/,0.139228,47.983089
Lycée général et technologique privé d'Avesnières,Pays de Loire,Nantes,Laval,ce.0530049R@ac-nantes.fr,"51 rue d'Avesnières, 53012, Laval",02 43 02 82 82,https://avesnieres.paysdelaloire.e-lyco.fr/, -0.767007,48.062775
Lycée général et technologique privé Sainte-Marguerite ,Centre-Val de Loire,Orléans-Tours,Chambray-lès-Tours,ce.0370749n@ac-orleans-tours.fr,"1 rue Horizon Vert, 37176, Chambray-lès-Tours ",02 47 74 80 00,http://www.ste-marguerite.net,0.722331,47.346449
Lycée polyvalent privé Albert de Mun,Ile-de-France,Paris,Paris,ce.0754030Y@ac-paris.fr,"2 rue d'Olivet, 07e arr. 75007 Paris",01 43 06 33 09,www.albertdemun.eu,2.3197234,48.8497156
Lycée Denis Diderot - ESDM,Provence-Alpes-Côte d'Azur,Aix-Marseille,Marseille,ce.0130050J@ac-aix-marseille.fr,"23 boulevard Laveran, 13388, Marseille",04 91 10 07 00,http://www.lyc-diderot.ac-aix-marseille.fr/spip/,5.414184,43.325455
Lycée Frédéric Mistral,Provence-Alpes-Côte d'Azur,Aix-Marseille,Avignon,ce.0840003X@ac-aix-marseille.fr,"37 rue d'Annanelle, 84000, Avignon",04 90 80 45 00,http://www.lyc-mistral-avignon.ac-aix-marseille.fr/,4.799813,43.946428
Lycée Edouard Branly,Haut-de-France,Amiens,Amiens,ce.0801327h@ac-amiens.fr,"70 boulevard de Saint Quentin, 80094, Amiens",03 22 53 49 60,http://www.lycee-branly.fr/,2.296762,49.879104
Lycée polyvalent Paul Langevin,Haut-de-France,Amiens,Beauvais,ce.0600002B@ac-amiens.fr,"3 avenue Montaigne, 60009, Beauvais",03 44 12 17 17,http://langevin.lyc.ac-amiens.fr/,2.10628,49.414981
Lycée général et technologique Louis Pasteur,Bourgogne-Franche-Comté,Besançon,Besançon,ce.0250008y@ac-besancon.fr,"4 rue du lycée, 25000, Besançon",03 81 81 22 89,http://www.lyc-pasteur.ac-besancon.fr/,6.019868,47.238049
Lycée Albert Claveille,Nouvelle Aquitaine,Bordeaux,Périgueux,ce.0240026y@ac-bordeaux.fr,"80 rue Victor Hugo, 24001, Périgueux",05 53 02 17 00,http://www.claveille.org/,0.713582,45.189368
Lycée François Magendie,Nouvelle Aquitaine,Bordeaux,Bordeaux,ce.0330026z@ac-bordeaux.fr,"10 rue des Treuils, 33023, Bordeaux",05 57 81 61 50,http://www.magendie.net/, -0.585376,44.826942
Lycée Cantau,Nouvelle Aquitaine,Bordeaux,Anglet,ce.0640001@ac-bordeaux.fr,"1 allée de Cantau, 64600, Anglet",05 59 58 06 06,http://www.lycee-cantau.net/,-1.512186,43.475832
Lycée Haroun Tazieff,Nouvelle Aquitaine,Bordeaux,Saint-Paul-lès-Dax,ce.0401002x@ac-bordeaux.fr,"Boulevard Saint-Vincent-de-Paul, 40990, Saint-Paul-lès-Dax",05 58 91 33 40,http://www.lycee-cantau.net/,-1.042839,43.726852
Lycée polyvalent Georges Leygues,Nouvelle Aquitaine,Bordeaux,Villeneuve-sur-Lot,ce.0470038l@ac-bordeaux.fr,"Avenue d'Agen, 47307, Villeneuve-sur-Lot",05 53 40 40 50,http://svpbordeaux.fr/,0.709663,44.393472
Lycée Pierre Simon de Laplace,Normandie,Caen,Caen,ce.0142133t@ac-caen.fr,"130 rue de la Délivrande, 14075, Caen",02 31 93 04 30,https://laplace.etab.ac-caen.fr/,-0.360016,49.196307
Lycée polyvalent Jean Monnet - ESDMAA - ENV,Auvergne-Rhône-Alpes,Clermont-Ferrand,Yzeure,ce.0030038A@ac-clermont.fr,"39 place Jules Ferry, 03400, Yzeure",04 70 46 93 01,http://www.lycee-jeanmonnet-yzeure.fr/,3.357008,46.567426
Lycée René Descartes,Auvergne-Rhône-Alpes,Clermont-Ferrand,Cournon-d'Auvergne,ce.0631861F@ac-clermont.fr,"Avenue Jules Ferry, 63801, Cournon-d'Auvergne",04 73 77 54 50,http://www.entauvergne.fr/public/0631861F/Pages/default.aspx,3.211763,45.744678
Lycée polyvalent André Malraux ,Ile-de-France,Créteil,Montereau-Fault-Yonne,ce.0770938b@ac-creteil.fr,"Avenue du Lycée, 77130, Montereau-Fault-Yonne ",01 64 70 71 71,http://www.lycee-andre-malraux.org,2.96081,48.395368
Lycée polyvalent du Gué à Tresmes ,Ile-de-France,Créteil,Congis-sur-Thérouanne,ce.0771658j@ac-creteil.fr,"Le Gué à Tresmes, 77440, Congis-sur-Thérouanne ",01 64 35 52 56,http://gueatres.cluster014.ovh.net/,2.965752,49.02049
Lycée polyvalent Eugénie Cotton ,Ile-de-France,Créteil,Montreuil,ce.0932116V@ac-creteil.fr,"58 avenue Faidherbe, 93100, Montreuil ",01 48 58 79 97,http://www.lyceecotton.net/,2.436928,48.866879
Lycée polyvalent François Mansart ,Ile-de-France,Créteil,Saint-Maur-des-Fossés,ce.0940585A@ac-creteil.fr,"25 avenue de la Banque, 94210, Saint-Maur-des-Fossé",01 48 83 48 80,http://mansart.o2switch.net,2.497983,48.79059
Lycée polyvalent Adolphe Chérioux ,Ile-de-France,Créteil,Vitry-sur-Seine,ce.0941294W@ac-creteil.fr,"195 rue Julian Grimau, 94408, Vitry-sur-Seine",01 45 12 87 87,http://lycee-cherioux.fr,2.373328,48.780453
Lycée général et technologique Alain Colas ,Bourgogne-Franche-Comté,Dijon,Nevers,ce.0580753D@ac-dijon.fr,"Rue Destutt de Tracy, 58000, Nevers",03 86 57 47 48,http://lyc58-colas.ac-dijon.fr,3.129429,46.983152
Lycée polyvalent Henry Moisand ,Bourgogne-Franche-Comté,Dijon,Longchamp,ce.0210032w@ac-dijon.fr,"9 rue du Lycée, 21110, Longchamp ",03 80 47 29 30,http://arts-design-ceramique.fr/,5.291542,47.260126
Lycée Léonard de Vinci,Auvergne-Rhône-Alpes,Grenoble,Villefontaine,ce.0382440W@ac-grenoble.fr,"Boulevard de Villefontaine, 38090, Villefontaine",04 74 96 44 55,http://www.ac-grenoble.fr/vinci/,5.140137,45.622838
Lycée polyvalent André Argouges,Auvergne-Rhône-Alpes,Grenoble,Grenoble,ce.0381603L@ac-grenoble.fr,"61 rue Léon Jouhaux, 38029, Grenoble",04 76 44 48 05,http://argouges.elycee.rhonealpes.fr/,5.745727,45.176436
Lycée polyvalent Raoul Georges Nicolo,La Guadeloupe,Guadeloupe,Basse-Terre ,ce.9710884j@ac-guadeloupe.fr,"Quartier Rivière des Pères, 97100, Basse-Terre ",05 90 81 14 28,http://lporaoulgeorgesnicolo.fr/news.php, -61.739927,16.007177
École supérieure des arts appliqués et du textile - ESAAT,Haut-de-France,Lille,Roubaix,ce.0594391c@ac-lille.fr,"539 avenue des Nations-Unies, 59100, Roubaix",03 20 24 27 77,http://www.esaat-roubaix.com/,3.168556,50.695815
Lycée Auguste Behal,Haut-de-France,Lille,Lens,ce.0620109g@ac-lille.fr,"6 rue Paul Eluard, 62300, Lens",03 21 14 21 14,http://auguste-behal-lens.savoirsnumeriques5962.fr/,2.82301,50.445637
Lycée général et technologique Raymond Loewy ,Nouvelle Aquitaine,Limoges,La Souterraine,ce.0230025c@ac-limoges.fr,"Place de Filderstadt, 23300, La Souterraine",05 55 89 40 00,http://bac-std2a.cite-loewy.org/,1.485273,46.239836
Lycée Monnet Fourneyron,Auvergne-Rhône-Alpes,Lyon,Saint-Etienne,ce.0420043U@ac-lyon.fr,"24 rue Virgile, 42013, Saint-Etienne",04 77 46 30 50,http://www.monnet-fourneyron.net/,4.410386,45.416905
ESAA La Martinière Diderot,Auvergne-Rhône-Alpes,Lyon,Lyon,ce.0690037R@ac-lyon.fr,"18 place Gabriel Rambaud, 69283, Lyon",04 37 40 87 37,http://www.lamartinierediderot.fr/,4.830023,45.768013
Lycée Jean-Paul Sartre,Auvergne-Rhône-Alpes,Lyon,Bron,ce.0693044J@ac-lyon.fr,"93 avenue François Mitterrand, 69675, Bron",04 72 14 60 60,http://jean-paul-sartre.elycee.rhonealpes.fr/,4.920176,45.737224
Lycée polyvalent Arbez-Carme,Auvergne-Rhône-Alpes,Lyon,Bellignat,ce.0011119L@ac-lyon.fr,"1 rue Pierre et Marie Curie, 01100, Bellignat",04 74 81 97 97,http://www.lamartinierediderot.fr/,5.633895,46.250251
Lycée polyvalent Victor Anicet,La Martinique,Martinique,Saint-Pierre,ce.9720888h@ac-martinique.fr,"Quartier Saint James, 97250, Saint-Pierre",05 96 78 16 05,http://lyc-victoranicet.ac-martinique.fr/,-61.168805,14.746452
Lycée polyvalent de Mamoudzou nord,Mayotte,Mayotte,Mamoudzou,ce.9760370Y@ac-mayotte.fr,"Kawéni, 97600, Mamoudzou",02 69 64 75 74,https://lp-kaweni.ac-mayotte.fr/,45.220175,-12.768286
Lycée polyvalent Ernest Hemingway,Occitanie,Montpellier,Nîmes,ce.0300027s@ac-montpellier.fr,"98 avenue Jean Jaurès, 30910, Nîmes",04 66 04 93 73,https://ernest-hemingway.mon-ent-occitanie.fr/,4.353346,43.824899
Lycée Jean Lurçat,Occitanie,Montpellier,Perpignan,ce.0660011d@ac-montpellier.fr,"25 avenue Albert Camus, 66070, Perpignan",04 68 50 28 91,http://www.lyc-lurcat-perpignan.ac-montpellier.fr/,2.909125,42.692447
Lycée Joseph Vallot ,Occitanie,Montpellier,Lodève,ce.0340028w@ac-montpellier.fr,"Rue du docteur Henri Mas, 34700, Lodève",04 67 88 48 60,http://www.lyc-vallot-lodeve.ac-montpellier.fr/,3.314851,43.730975
Lycée de la communication,Grand Est,Nancy-Metz,Metz,ce.0573281G@ac-nancy-metz.fr,"3 boulevard Dominique François Arago,57070, Metz",03 87 75 87 00,http://www.lycom.fr/,6.221827,49.100877
Lycée Henri Loritz,Grand Est,Nancy-Metz,Nancy,ce.0540042C@ac-nancy-metz.fr,"29 rue des Jardiniers, 54042, Nancy",03 83 36 75 42,http://www4.ac-nancy-metz.fr/lyc-loritz/,6.191766,48.690117
Lycée polyvalent Léonard de Vinci,Pays de Loire,Nantes,Montaigu,ce.0851390z@ac-nantes.fr,"Rue du Fromenteau, 85603, Montaigu",02 51 45 33 00,https://vinci.paysdelaloire.e-lyco.fr/,-1.299803,46.971264
Lycée général et technologique Eugène Livet,Pays de Loire,Nantes,Nantes,ce.0440029t@ac-nantes.fr,"16 rue Dufour, 44042, Nantes",02 51 81 23 23,http://livet.paysdelaloire.e-lyco.fr/,-1.545197,47.225487
Lycée Fernand Renaudeau-La Mode,Pays de Loire,Nantes,Cholet,ce.0490054t@ac-nantes.fr,"20 rue Carteron, 49321, Cholet",02 41 71 00 53,https://www.lycee-mode.fr/,-0.890403,47.069957
Lycée Léonard de Vinci,Provence-Alpes-Côte d'Azur,Nice,Antibes,ce.0061478z@ac-nice.fr,"214 rue Jean Joannon, 06633, Antibes",04 92 91 30 20,http://www.leonarddevinci.net/,7.071618,43.605052
Lycée René Goscinny,Provence-Alpes-Côte d'Azur,Nice,Drap,ce.0062089n@ac-nice.fr,"500 Route des Croves, 06340, Drap",04 92 14 34 50,http://lgoscinny.free.fr/,7.340342,43.764945
Lycée Henti Matisse,Provence-Alpes-Côte d'Azur,Nice,Vence,ce.0061884r@ac-nice.fr,"101 avenue Foch, 06140, Vence",04 92 11 20 70,http://www.lyc-henri-matisse.ac-nice.fr/,7.105867,43.722217
Lycée Rouvière,Provence-Alpes-Côte d'Azur,Nice,Toulon,ce.0831616f@ac-nice.fr,"Quartier Sainte Musse, 83070, Toulon",04 94 27 39 44,http://www.lycee-rouviere.fr/,5.978425,43.125522
Lycée général et technologique Camille Claudel ,Centre-Val de Loire,Orléans-Tours,Blois,ce.0410959v@ac-orleans-tours.fr,"10 rue Albert Camus, 41018, Blois",02 54 52 60 38,http://www.lyc-camille-claudel-blois.ac-orleans-tours.fr/site/,1.301507,47.575123
Lycée général et technologique Charles Péguy ,Centre-Val de Loire,Orléans-Tours,Orléans,ce.0451526p@ac-orleans-tours.fr,"1 Cours Victor Hugo, 45074, Orléans",02 38 22 62 40,http://www.lyc-charles-peguy-orleans.tice.ac-orleans-tours.fr/,1.897316,47.888457
Lycée général et technologique Choiseul ,Centre-Val de Loire,Orléans-Tours,Tours,ce.0370037p@ac-orleans-tours.fr,"78 rue des Douets, 37095, Tours",02 47 88 10 30,http://www.lyc-choiseul.ac-orleans-tours.fr/php5/site/,0.684489,47.434615
Lycée Durzy ,Centre-Val de Loire,Orléans-Tours,Villemandeur,ce.0450042b@ac-orleans-tours.fr,"23 rue Léonard de Vinci, 45702, Villemandeur",02 38 28 10 50,http://www.lyceedurzy.com/,2.714688,48.000079
Lycée polyvalent Edouard Branly ,Centre-Val de Loire,Orléans-Tours,Dreux,ce.0280021w@ac-orleans-tours.fr,"29 avenue Kennedy, 28100, Dreux",02 37 62 58 58,http://lyc-edouardbranly-dreux.tice.ac-orleans-tours.fr/eva/,1.377849,48.731666
Lycée polyvalent Henri Brisson ,Centre-Val de Loire,Orléans-Tours,Vierzon,ce.180036s@ac-orleans-tours.fr,"25 avenue Henri Brisson, 18108, Vierzon",02 48 52 74 00,https://lycee-henribrisson.com/,2.062745,47.228443
École supérieure des arts appliqués Boulle ,Ile-de-France,Paris,Paris,ce.0750681H@ac-paris.fr,"21 rue Pierre Bourdan, 75012, Paris",01 44 67 69 67,http://www.ecole-boulle.org/,2.391504,48.846754
École et Lycée des Métiers d'Art et du Design Auguste Renoir,Ile-de-France,Paris,Paris,ce.0750710p@ac-paris.fr,"24 rue Ganneron, 75018, Paris",01 40 08 45 60,http://ecole-lycee-renoir-paris.fr/,2.328136,48.886883
Lycée polyvalent Maximilien Vox ,Ile-de-France,Paris,Paris,ce.0750502n@ac-paris.fr,"5 rue Madame, 75006, Paris",01 45 49 78 78,http://www.lyceemaximilienvox.com/,2.332063,48.851874
Lycée Charles Augustin Coulomb ,Nouvelle Aquitaine,Poitiers,Angoulême,ce.0160004t@ac-poitiers.fr,"Allée Joachim du Bellay, 16016, Angoulême",05 45 61 83 00,http://www.lyceecharlescoulomb.fr/,0.158369,45.630505
Lycée Ernest Pérochon ,Nouvelle Aquitaine,Poitiers,Parthenay,ce.0790029c@ac-poitiers.fr,"40 rue Taillepied, 79204, Parthenay",05 49 71 08 00,http://lyceeernestperochon.cc-parthenay.fr/,-0.252836,46.642627
Lycée Marc Chagall ,Grand Est,Reims,Reims,ce.0511926s@ac-reims.fr,"60 chaussée Saint Martin, 51726, Reims ",03 26 82 15 95,https://www.lycee-marc-chagall.fr/,4.026869,49.242557
Lycée polyvalent Charles de Gaulle ,Grand Est,Reims,Chaumont,ce.0521032P@ac-reims.fr,"Avenue Christian Pineau, 52903, Chaumont",03 25 32 54 55,http://www.lyceecdg52.com/,5.146978,48.073046
Lycée polyvalent Vauban ,Bretagne,Rennes,Brest,ce.0290012f@ac-rennes.fr,"Rue de Kerichen, 29225, Brest",02 98 80 88 00,http://www.lycee-vauban-brest.ac-rennes.fr/, -4.481777,48.407815
Lycée général et technologique Joseph Savina ,Bretagne,Rennes,Tréguier,ce.0220065b@ac-rennes.fr,"Place de la République, 22220, Tréguier ",02 96 92 32 63,http://www.lycee-savina.fr/, -3.234652,48.785769
Lycée général et technologique Bréquigny ,Bretagne,Rennes,Rennes,ce.0350028r@ac-rennes.fr,"7 avenue Georges Graff, 35205, Rennes",02 99 86 82 00,http://www.lycee-brequigny.fr/, -1.692121,48.083551
Lycée Ambroise Vollard ,La Réunion,Réunion,Saint-Pierre,ce.9740019c@ac-reunion.fr,"3 avenue de Soweto, Terre Sainte, 97448, Saint-Pierre",02 62 96 23 50,http://lycee-ambroise-vollard.ac-reunion.fr/, 55.489945,-21.343007
Lycée Jeanne d'Arc ,Normandie,Rouen,Rouen,ce.0760091l@ac-rouen.fr,"2 rue Sainte Geneviève du Mont, 76000, Rouen",02 32 08 10 00,http://lycees.ac-rouen.fr/jeanne-d-arc/,1.108393,49.444187
Lycée polyvalent Le Corbusier ,Grand Est,Strasbourg,Illkirch-Graffenstaden,ce.0672198A@ac-strasbourg.fr,"15 rue Lixenbuhl, 67400, Illkirch-Graffenstaden",03 88 66 87 66,http://www.lyceelecorbusier.eu/,7.723864,48.528951
Lycée Louis Armand ,Grand Est,Strasbourg,Mulhouse,ce.0680034t@ac-strasbourg.fr,"3 boulevard des Nations, 68058, Mulhouse",03 89 33 47 80,http://www.lyc-armand-mulhouse.ac-strasbourg.fr/,7.303544,47.731354
Lycée général et technologique des Arènes ,Occitanie,Toulouse,Toulouse,ce.0312267w@ac-toulouse.fr,"Place Emile Male, 31024, Toulouse",05 62 13 10 00,http://arenes.entmip.fr/,1.418595,43.592246
Lycée général et technologique Rive Gauche ,Occitanie,Toulouse,Toulouse,ce.0311323v@ac-toulouse.fr,"avenue Jean Baylet, 31081, Toulouse",05 61 43 21 21,http://rive-gauche.entmip.fr/,1.39778,43.585413
Lycée général et technologique Jean Dupuy ,Occitanie,Toulouse,Tarbes,ce.0650027b@ac-toulouse.fr,"1 rue Aristide Bergès, 65016, Tarbes",05 62 34 03 74,http://jean-dupuy.entmip.fr/,0.064552,43.229516
Lycée polyvalent Camille Claudel ,Ile-de-France,Versailles,Vauréal,ce.0951710t@ac-versailles.fr,"4 avenue Federico Garcia Lorca, 95490, Vauréal ",01 34 21 18 93,http://www.lyc-claudel-vaureal.ac-versailles.fr/,2.021537,49.033183
Lycée polyvalent Georges Brassens ,Ile-de-France,Versailles,Courcouronnes,ce.0911828t@ac-versailles.fr,"8 rue Georges Brassens, 91080, Courcouronnes",01 69 47 54 70,http://www.lyc-brassens-courcouronnes.ac-versailles.fr/,2.420298,48.626399
Lycée général et technologique Jean-Pierre Vernant ,Ile-de-France,Versailles,Sèvres,ce.0920802X@ac-versailles.fr,"21 rue du Docteur Ledermann, 92310, Sèvres",01 46 26 60 10,http://www.lyceevernant.fr,2.211412,48.825266
Lycée Le Corbusier ,Ile-de-France,Versailles,Poissy,ce.0782546u@ac-versailles.fr,"88 rue de Villiers, 78300, Poissy",01 39 65 13 55,http://www.lyc-lecorbusier-poissy.ac-versailles.fr/,2.026731,48.923648
Lycée Gabriel Mézeray ,Normandie,Caen ,Argentan ,ce.0610006A@ac-normandie.fr,"6 Place Robert Dugué, 61200 Argentan",02 33 67 88 88,https://lpo-mezeray-gabriel.etab.ac-caen.fr, -0.015071,48.744849
Lycée polyvalent Astier ,Auvergne-Rhône-Alpes,Grenoble,Aubenas,ce.0070004S@ac-grenoble.fr ,"QUARTIER ROQUA; BP60145; 07205 AUBENAS CEDEX",04 75 35 09 77,http://astier.elycee.rhonealpes.fr/,4.387738,44.627174
Lycée polyvalent Tani Malandi ,Mayotte,Mayotte,Chirongui,lpo.chirongui@ac-mayotte.fr ,"- BP 12 - 97620 CHIRONGUI",269647854,http://lp-chirongui.ac-mayotte.fr,45.149511,-12.935673
Lycée Charles Gide ,Occitanie,Montpellier,Uzes,ce.0300047N@ac-montpellier.fr,"1 place de Verdun 30703 UZES ",0 46 62 21 36 7,https://lyc-gide-uzes.ac-montpellier.fr/,4.421082,44.013871
Lycée polyvalent Raphaël Elizé ,Pays de Loire,Nantes,Sablé-sur-Sarthe,ce.0720048l@ac-nantes.fr,"26 rue Saint-Denis, 72305, Sablé-sur-Sarthe",02 43 62 46 50,https://raphaelelize.paysdelaloire.e-lyco.fr/,-0.339005,47.839128
Lycée Emile Combes ,Nouvelle Aquitaine,Poitiers,Pons,ce.0170020E@ac-poitiers.fr,"9 Rue des Cordeliers, 17800 Pons",05 46 91 86 00,http://www.lycee-pons.org, -0.549676,45.577745
Lycée général et technologique Bossuet ,Occitanie,Toulouse,Codom,ce.0320009L@ac-toulouse.fr,"42 rue Jules Ferry 32100 CONDOM",+33 5 62 28 00 85,https://bossuet.mon-ent-occitanie.fr/,0.372395,43.959649
Lycée Aristide Briand ,Normandie,Normandie,Evreux,ce.0270016w@ac-normandie.fr,"2, rue Pierre Sémard - CS 73126 - 27 031 EVREUX Cédex",02 32 23 69 00,https://briand-lyc.spip.ac-rouen.fr/,1.155465,49.01796
Lycée Polyvalent Jules Garnier ,,Nouvelle Calédonie,Nouméa,ce.980003l@ac-noumea.nc,"65 Avenue James Cook 98800 Nouméa",(+687) 24 61 85,https://webgarnier.ac-noumea.nc/,166.418707,-22.268942
