Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Web;Mail;Post_BAC;Section_arts;Section_cinema;Section_theatre;latitude;longitude;libelle_nature
BE_EC_019;École Supérieure des Arts;Public;Royal Academy of Fine Arts Antwerp (AP Hogeschool);Mutsaardstraat 31;;2000 ANTWERPEN;2000;BE-VAN;Anvers;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 3 213 71 00;www.ap-arts.be;academie@ap.be;t;t;f;f;51.222700;4.406900;ECOLE SUPERIEURE DES ARTS
BE_EC_020;École Supérieure des Arts;Public;LUCA School of Arts (Campus Sint-Lukas Brussel);Paleizenstraat 70;;1030 BRUXELLES;1030;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 2 250 11 00;www.luca-arts.be;info@luca-arts.be;t;t;t;f;50.860400;4.364400;ECOLE SUPERIEURE DES ARTS
BE_EC_021;École Supérieure des Arts;Public;LUCA School of Arts (Campus Sint-Lucas Gent);Alexianenweg 1;;9000 GENT;9000;BE-VLG;Flandre-Orientale;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 9 225 42 90;www.luca-arts.be;gent@luca-arts.be;t;t;f;f;51.056000;3.719000;ECOLE SUPERIEURE DES ARTS
BE_EC_022;École Supérieure des Arts;Public;LUCA School of Arts (Campus C-Mine Genk);C-Mine 5;;3600 GENK;3600;BE-VLI;Limbourg;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 89 30 08 00;www.luca-arts.be;genk@luca-arts.be;t;t;t;f;50.985200;5.498100;ECOLE SUPERIEURE DES ARTS
BE_EC_023;École Supérieure des Arts;Public;Sint Lucas Antwerpen (KdG Hogeschool);Van Schoonbekestraat 143;;2018 ANTWERPEN;2018;BE-VAN;Anvers;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 3 613 12 00;www.sintlucasantwerpen.be;info.sintlucas@kdg.be;t;t;f;f;51.200100;4.410200;ECOLE SUPERIEURE DES ARTS
BE_EC_024;École Supérieure des Arts;Public;PXL-MAD School of Arts (PXL Hogeschool);Elfde-Liniestraat 25;;3500 HASSELT;3500;BE-VLI;Limbourg;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 11 77 50 50;www.pxl-mad.be;mad@pxl.be;t;t;f;f;50.938100;5.352400;ECOLE SUPERIEURE DES ARTS
BE_EC_025;Haute École;Public;Howest - Digital Arts and Entertainment (DAE);Botenkopersstraat 2;;8500 KORTRIJK;8500;BE-VWV;Flandre-Occidentale;BE;Belgique;BE-VLG;Flandre;f;f;f;+32 56 24 12 90;www.digitalartsandentertainment.be;info@digitalartsandentertainment.be;t;t;t;f;50.824800;3.262500;HAUTE ECOLE
BE_LY_026;Lycée / Institut Secondaire;Privé;Institut des Arts et Métiers Saint-Luc Tournai (Secondaire);Chaussée de Tournai 7;;7520 RAMEGNIES-CHIN;7520;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 69 25 03 50;www.stluc-secondaire-tournai.be;secondaire@stluc-tournai.be;f;t;f;f;50.647500;3.361500;INSTITUT D ENSEIGNEMENT SECONDAIRE ARTISTIQUE
BE_LY_027;Lycée / Institut Secondaire;Privé;Institut Saint-Luc Bruxelles (Secondaire artistique);Rue d'Irlande 57;;1060 SAINT-GILLES;1060;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 2 537 98 69;www.stluc-bruxelles.be;secretariat@stluc-bruxelles.be;f;t;f;f;50.826900;4.347800;INSTITUT D ENSEIGNEMENT SECONDAIRE ARTISTIQUE
BE_LY_028;Lycée / Institut Secondaire;Privé;Institut Saint-Luc Liège (Secondaire artistique);Boulevard de la Constitution 41;;4020 LIEGE;4020;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 4 341 80 00;www.saint-luc.be;secondaire@saint-luc.be;f;t;f;f;50.643300;5.586700;INSTITUT D ENSEIGNEMENT SECONDAIRE ARTISTIQUE
BE_LY_029;Lycée / Institut Secondaire;Privé;Institut Sainte-Marie Bruxelles (Arts appliqués & Graphisme);Chaussée de Haecht 164;;1030 SCHAERBEEK;1030;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 2 216 80 27;www.ism.be;direction@ism.be;f;t;f;f;50.858900;4.369500;INSTITUT D ENSEIGNEMENT SECONDAIRE ARTISTIQUE
BE_LY_030;Lycée / Institut Secondaire;Privé;Institut Sainte-Marie La Louvière (Section Arts);Rue de Bouvy 21;;7100 LA LOUVIERE;7100;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 64 22 28 85;www.ismll.be;direction@ismll.be;f;t;f;f;50.478900;4.186500;INSTITUT D ENSEIGNEMENT SECONDAIRE
BE_LY_031;Lycée / Institut Secondaire;Public;Institut des Arts et Métiers de la Ville de Bruxelles;Boulevard de l'Abattoir 28;;1000 BRUXELLES;1000;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;t;t;+32 2 505 85 11;www.iam.irisnet.be;iam@brucity.education;f;t;f;f;50.848000;4.338500;INSTITUT D ENSEIGNEMENT SECONDAIRE TECHNIQUE
BE_LY_032;Lycée / Institut Secondaire;Public;Athénée Royal René Magritte (Arts appliqués);Rue René Magritte 1;;7860 LESSINES;7860;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;f;+32 68 33 24 81;www.armagritte.be;info@armagritte.be;f;t;f;f;50.713000;3.829000;ATHENEE ROYAL
BE_LY_033;Lycée / Institut Secondaire;Public;Athénée Royal Prince Baudouin (Option Arts plastiques);Avenue Astrid 35;;5100 MARCHE-EN-FAMENNE;5100;BE-WLX;Luxembourg;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;f;+32 84 31 16 71;www.arpb.be;info@arpb.be;f;t;f;f;50.226000;5.344000;ATHENEE ROYAL
BE_LY_034;Lycée / Institut Secondaire;Public;Athénée Royal Jean Absil (Option Arts);Avenue Boileau 4;;1040 ETTERBEEK;1040;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;f;f;+32 2 733 46 80;www.jeanabsil.eu;direction@jeanabsil.eu;f;t;f;f;50.835400;4.398900;ATHENEE ROYAL
BE_LY_035;Lycée / Institut Secondaire;Public;Athénée Royal de Chênée (Arts d'expression);Rue de l'Église 37;;4032 CHENEE;4032;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;f;+32 4 365 18 80;www.archenee.be;info@archenee.be;f;t;f;f;50.612000;5.617000;ATHENEE ROYAL
BE_LY_036;Lycée / Institut Secondaire;Privé;Institut Notre-Dame de Bonne-Espérance (Arts plastiques);Rue Grignard 17;;4000 LIEGE;4000;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;f;+32 4 224 82 20;www.indbe.be;secretariat@indbe.be;f;t;f;f;50.645000;5.568000;INSTITUT D ENSEIGNEMENT SECONDAIRE
BE_LY_037;Lycée / Institut Secondaire;Privé;Institut Saint-Luc Mons (Secondaire artistique);Rue de Nimy 53;;7000 MONS;7000;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 65 39 96 60;www.saintlucmons.be;direction@saintlucmons.be;f;t;f;f;50.457100;3.955500;INSTITUT D ENSEIGNEMENT SECONDAIRE ARTISTIQUE
BE_LY_038;Lycée / Institut Secondaire;Public;Institut Provincial d'Enseignement Secondaire - IPES Wavre (Arts graphiques);Avenue Henri Lepage 4;;1300 WAVRE;1300;BE-WBR;Brabant Wallon;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 10 22 28 80;www.ipeswavre.be;ipes.wavre@brabantwallon.be;f;t;f;f;50.718000;4.612000;INSTITUT PROVINCIAL D ENSEIGNEMENT SECONDAIRE
BE_LY_039;Lycée / Institut Secondaire;Public;IPES Léon Hurez (Arts Appliqués & Infographie);Rue Bonne Espérance 1;;7100 LA LOUVIERE;7100;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;t;t;+32 64 22 36 21;www.etudierenhainaut.be/ipes-la-louviere;ipes.lalouviere@hainaut.be;f;t;f;f;50.481000;4.182000;INSTITUT PROVINCIAL D ENSEIGNEMENT SECONDAIRE
BE_LY_040;Lycée / Institut Secondaire;Public;IPES Hesbaye (Arts visuels et appliqués);Rue de Huy 123;;4300 WAREMME;4300;BE-WLG;Liège;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;t;+32 19 32 30 11;www.provincedeliege.be/ipeswaremme;ipes.waremme@provincedeliege.be;f;t;f;f;50.693000;5.254000;INSTITUT PROVINCIAL D ENSEIGNEMENT SECONDAIRE
BE_LY_041;Lycée / Institut Secondaire;Public;École Secondaire Artistique de la Ville de Bruxelles (ARBA secondaire);Rue du Midi 144;;1000 BRUXELLES;1000;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;t;t;f;+32 2 506 10 20;www.arba-esa.be;secondaire@arba-esa.be;f;t;f;f;50.844300;4.348100;ECOLE D ART SECONDAIRE
BE_LY_042;Lycée / Institut Secondaire;Privé;Institut Don Bosco Tournai (Arts graphiques & Infographie);Boulevard Léopold 57;;7500 TOURNAI;7500;BE-WHT;Hainaut;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;t;t;+32 69 22 61 71;www.donbosco-tournai.be;info@donbosco-tournai.be;f;t;f;f;50.612000;3.395000;INSTITUT TECHNIQUE ET PROFESSIONNEL
BE_LY_043;Lycée / Institut Secondaire;Privé;Institut Technique Cardinal Mercier (Graphisme & Prépresse);Boulevard Lambermont 35;;1030 SCHAERBEEK;1030;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-WAL;Fédération Wallonie-Bruxelles;f;t;t;+32 2 240 14 00;www.itcm.be;direction@itcm.be;f;t;f;f;50.867000;4.378000;INSTITUT TECHNIQUE
BE_LY_044;Lycée / Kunsthumaniora;Public;Kunsthumaniora Brussel (KASK / Dans, Musiek, Beeld);Zavelput 20;;1083 GANSHOREN;1083;BE-BRU;Bruxelles-Capitale;BE;Belgique;BE-VLG;Flandre;t;t;f;+32 2 426 64 00;www.kunsthumaniorabrussel.be;info@kunsthumaniorabrussel.be;f;t;f;t;50.871000;4.312000;KUNSTHUMANIORA
BE_LY_045;Lycée / Kunsthumaniora;Public;De Kunsthumaniora Antwerpen (Beeldende kunst / Design);Desguinlei 25;;2018 ANTWERPEN;2018;BE-VAN;Anvers;BE;Belgique;BE-VLG;Flandre;t;t;f;+32 3 244 11 50;www.kunsthumaniora.be;info@kunsthumaniora.be;f;t;f;f;51.192000;4.409000;KUNSTHUMANIORA
BE_LY_046;Lycée / Kunsthumaniora;Public;Kunsthumaniora Sint-Lucas Gent;Oude Houtlei 44;;9000 GENT;9000;BE-VLG;Flandre-Orientale;BE;Belgique;BE-VLG;Flandre;t;t;f;+32 9 223 84 74;www.sintlucasgent.be;info@sintlucasgent.be;f;t;f;f;51.052000;3.718000;KUNSTHUMANIORA
BE_LY_047;Lycée / Kunsthumaniora;Public;Kunstkaai Antwerpen (Stedelijk Onderwijs - Design & Media);Cadixstraat 2;;2000 ANTWERPEN;2000;BE-VAN;Anvers;BE;Belgique;BE-VLG;Flandre;t;t;t;+32 3 232 70 99;www.kunstkaai.be;kunstkaai@stedelijkonderwijs.be;f;t;f;f;51.233000;4.414000;KUNSTHUMANIORA
BE_LY_048;Lycée / Kunsthumaniora;Public;PIKOH - Provinciale Kunsthumaniora Hasselt;Gouverneur Verwilghensingel 1;;3500 HASSELT;3500;BE-VLI;Limbourg;BE;Belgique;BE-VLG;Flandre;t;t;f;+32 11 26 72 11;www.pikoh.be;info@pikoh.be;f;t;f;f;50.932000;5.356000;KUNSTHUMANIORA
BE_LY_049;Lycée / Kunsthumaniora;Public;Kunsthumaniora Brugge (Maricolen);Oude Zak 38;;8000 BRUGGE;8000;BE-VWV;Flandre-Occidentale;BE;Belgique;BE-VLG;Flandre;t;t;f;+32 50 44 59 80;www.maricolen-brugge.be;secr@maricolen-brugge.be;f;t;f;f;51.211000;3.220000;KUNSTHUMANIORA
BE_LY_050;Lycée / Kunsthumaniora;Public;SISA - Stedelijk Instituut voor Sierkunsten en Ambachten;Sint-Jansplein 40;;2060 ANTWERPEN;2060;BE-VAN;Anvers;BE;Belgique;BE-VLG;Flandre;f;t;t;+32 3 292 34 00;www.sisa-antwerpen.be;sisa@stedelijkonderwijs.be;f;t;f;f;51.226000;4.423000;KUNSTHUMANIORA
CH_EC_001;Haute École d'Art et de Design;Public;HEAD - Genève (Haute école d'art et de design - HES-SO);Boulevard Helvétique 9;;1205 GENEVE;1205;CH-GE;Genève;CH;Suisse;CH-ROM;Suisse Romande;f;f;f;+41 22 388 51 00;www.hesge.ch/head;head@hesge.ch;t;t;t;f;46.199120;6.155740;HAUTE ECOLE SPECIALISEE
CH_EC_002;Haute École d'Art et de Design;Public;ECAL - École cantonale d'art de Lausanne (HES-SO);5 avenue du Temple;;1020 RENENS;1020;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;f;f;f;+41 21 316 99 33;www.ecal.ch;ecal@ecal.ch;t;t;t;f;46.536300;6.588800;HAUTE ECOLE SPECIALISEE
CH_EC_003;Haute École d'Art et de Design;Public;EDHEA - École de design et haute école d'art du Valais (HES-SO);Route Bonne-Eau 16;;3960 SIERRE;3960;CH-VS;Valais;CH;Suisse;CH-ROM;Suisse Romande;t;t;t;+41 27 456 55 11;www.edhea.ch;info@edhea.ch;t;t;f;f;46.292900;7.541400;ECOLE D ARTS APPLIQUES ET HAUTE ECOLE
CH_LY_004;École d'Arts Appliqués / Lycée;Public;CFP Arts Genève (Centre de formation professionnelle arts);Rue Necker 2;;1201 GENEVE;1201;CH-GE;Genève;CH;Suisse;CH-ROM;Suisse Romande;t;t;t;+41 22 388 50 00;www.cfparts.ch;cfparts@etat.ge.ch;t;t;t;f;46.208900;6.139800;ECOLE D ARTS APPLIQUES
CH_LY_005;École d'Arts Appliqués / Lycée;Public;ERACOM - École romande d'arts et communication;Rue de Genève 55;;1004 LAUSANNE;1004;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;t;t;t;+41 21 316 01 00;www.eracom.ch;info.eracom@vd.ch;t;t;f;f;46.524400;6.619800;ECOLE D ARTS APPLIQUES
CH_LY_006;École d'Arts Appliqués / Lycée;Public;CEPV - Centre d'enseignement professionnel de Vevey (Arts appliqués);Avenue Nestlé 1;;1800 VEVEY;1800;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;t;t;t;+41 21 557 14 00;www.cepv.ch;info@cepv.ch;t;t;f;f;46.463300;6.841500;ECOLE D ARTS APPLIQUES
CH_LY_007;École d'Arts Appliqués / Lycée;Public;EAA - École d'arts appliqués de La Chaux-de-Fonds (CPNE);Rue de la Paix 60;;2300 LA CHAUX-DE-FONDS;2300;CH-NE;Neuchâtel;CH;Suisse;CH-ROM;Suisse Romande;t;t;t;+41 32 886 35 00;www.cpne.ch;info.eaa@rpn.ch;t;t;f;f;47.102600;6.829400;ECOLE D ARTS APPLIQUES
CH_LY_008;École d'Arts Appliqués / Lycée;Public;École d'art du Valais - Secondaire (EDHEA Arts appliqués);Route Bonne-Eau 16;;3960 SIERRE;3960;CH-VS;Valais;CH;Suisse;CH-ROM;Suisse Romande;t;t;t;+41 27 456 55 11;www.edhea.ch;info@edhea.ch;f;t;f;f;46.292900;7.541400;ECOLE D ARTS APPLIQUES
CH_LY_009;Collège / Gymnase;Public;Gymnase de Chamblandes (Option spécifique Arts visuels);Chemin des Ramiers 2;;1009 PULLY;1009;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 21 316 78 00;www.gymnasedechamblandes.ch;gymnase.chamblandes@vd.ch;f;t;f;f;46.509000;6.657000;GYMNASE CANTONAL
CH_LY_010;Collège / Gymnase;Public;Gymnase cantonal de la Cité (Option Arts visuels);Place de la Cathédrale 1;;1014 LAUSANNE;1014;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 21 316 77 00;www.gymnasedelacite.ch;gymnase.cite@vd.ch;f;t;f;f;46.522800;6.635500;GYMNASE CANTONAL
CH_LY_011;Collège / Gymnase;Public;Gymnase Auguste Piccard (Option Arts visuels);Avenue de Rhodanie 40;;1007 LAUSANNE;1007;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 21 316 10 00;www.gymnasepiccard.ch;gymnase.piccard@vd.ch;f;t;f;f;46.514000;6.618000;GYMNASE CANTONAL
CH_LY_012;Collège / Gymnase;Public;Gymnase de Nyon (Maturité Arts visuels);Route de Divonne 8;;1260 NYON;1260;CH-VD;Vaud;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 22 557 56 00;www.gymnasedenyon.ch;gymnase.nyon@vd.ch;f;t;f;f;46.386000;6.231000;GYMNASE CANTONAL
CH_LY_013;Collège / Gymnase;Public;Collège de Candolle (Option spécifique Arts visuels);Rue de Candolle 14;;1205 GENEVE;1205;CH-GE;Genève;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 22 388 80 00;edu.ge.ch/candolle;candolle@etat.ge.ch;f;t;f;f;46.197000;6.143000;COLLEGE SECONDAIRE SUPERIEUR
CH_LY_014;Collège / Gymnase;Public;Collège Calvin (Option spécifique Arts visuels);Rue Théodore-de-Bèze 2;;1204 GENEVE;1204;CH-GE;Genève;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 22 388 20 00;edu.ge.ch/calvin;calvin@etat.ge.ch;f;t;f;f;46.200500;6.153000;COLLEGE SECONDAIRE SUPERIEUR
CH_LY_015;Collège / Gymnase;Public;Collège Madame de Staël (Arts visuels);Route de Saint-Julien 25;;1227 CAROUGE;1227;CH-GE;Genève;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 22 388 77 00;edu.ge.ch/stael;stael@etat.ge.ch;f;t;f;f;46.182000;6.136000;COLLEGE SECONDAIRE SUPERIEUR
CH_LY_016;Collège / Gymnase;Public;Collège Rousseau (Option Arts visuels);Avenue Émile-Amiet 10;;1211 GENEVE;1211;CH-GE;Genève;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 22 388 64 00;edu.ge.ch/rousseau;rousseau@etat.ge.ch;f;t;f;f;46.216000;6.121000;COLLEGE SECONDAIRE SUPERIEUR
CH_LY_017;Collège / Gymnase;Public;Collège Sainte-Croix Fribourg (Option Arts visuels);Rue Antoine-de-Saint-Exupéry 2;;1700 FRIBOURG;1700;CH-FR;Fribourg;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 26 305 41 20;www.cscfr.ch;secretariat@cscfr.ch;f;t;f;f;46.801000;7.151000;COLLEGE CANTONAL
CH_LY_018;Collège / Gymnase;Public;Collège Saint-Michel Fribourg (Option spécifique Arts);Rue Saint-Michel 14;;1700 FRIBOURG;1700;CH-FR;Fribourg;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 26 305 41 00;www.csmfr.ch;info@csmfr.ch;f;t;f;f;46.806000;7.158000;COLLEGE CANTONAL
CH_LY_019;Collège / Lycée cantonal;Public;Lycée cantonal de Porrentruy (Option Arts visuels);Place Blarer-de-Wartensee 2;;2900 PORRENTRUY;2900;CH-JU;Jura;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 32 420 36 00;www.lycee.ch;secr.lycee@jura.ch;f;t;f;f;47.416000;7.076000;LYCEE CANTONAL
CH_LY_020;Lycée cantonal;Public;Lycée Denis-de-Rougemont (Option Arts visuels);Faubourg de l'Hôpital 65;;2000 NEUCHATEL;2000;CH-NE;Neuchâtel;CH;Suisse;CH-ROM;Suisse Romande;t;f;f;+41 32 886 41 00;lycee-denis-de-rougemont.ch;lycee.denis-de-rougemont@rpn.ch;f;t;f;f;47.000000;6.940000;LYCEE CANTONAL
